PRELIMINARY PACT DEVELOPMENTS DIRECTORY as of 1/1/2026

1010 EAST 178TH STREET

## TOTAL UNITS: 220

**Borough:** BRONX

| BBL | BLDG# | M | ADDRESS | ZIP CODE | CD # | FC # | SS # | SA # | CC # | BIN# |
| 3083290225 | 13 | M | 1590 EAST 102ND STREET | 11236 | 18 | 08 | 19 | 59 | 46 | 3331430 |
| 3083290225 | 14 | M | 2125 ROCKAWAY PARKWAY | 11236 | 18 | 08 | 19 | 59 | 46 | 3331433 |
| 3083290225 | 15 | M | 2115 ROCKAWAY PARKWAY | 11236 | 18 | 08 | 19 | 59 | 46 | 3331436 |
| 3083290225 | 16 | M | 5945 SHORE PARKWAY | 11236 | 18 | 08 | 19 | 59 | 46 | 3331438 |
| 3083290225 | 17 | M | 5975 SHORE PARKWAY | 11236 | 18 | 08 | 19 | 59 | 46 | 3331439 |
| 3083290225 | 18 | M | 1610 EAST 102ND STREET | 11236 | 18 | 08 | 19 | 59 | 46 | 3331434 |
| 3083290225 | 19 | M | 1630 EAST 102ND STREET | 11236 | 18 | 08 | 19 | 59 | 46 | 3331435 |
| 3083290225 | 2 |  | 2057 ROCKAWAY PARKWAY | 11236 | 18 | 08 | 19 | 59 | 46 | 3331422 |

---

PRELIMINARY PACT DEVELOPMENTS DIRECTORY as of 1/1/2026

| 3083290225 | 2 | M | 2055 ROCKAWAY PARKWAY | 11236 | 18 | 08 | 19 | 59 | 46 | 3331422 |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| 3083290225 | 20 | M | 5905 SHORE PARKWAY | 11236 | 18 | 08 | 19 | 59 | 46 | 3331437 |
| 3083290225 | 21 | M | 5935 SHORE PARKWAY | 11236 | 18 | 08 | 19 | 59 | 46 | 3331442 |
| 3083290225 | 22 | M | 5985 SHORE PARKWAY | 11236 | 18 | 08 | 19 | 59 | 46 | 3331443 |
| 3083290225 | 23 | M | 5995 SHORE PARKWAY | 11236 | 18 | 08 | 19 | 59 | 46 | 3331440 |
| 3083290225 | 24 |  | 9820 SEAVIEW AVENUE | 11236 | 18 | 08 | 19 | 59 | 46 | 3331441 |
| 3083290225 | 24 |  | 9900 SEAVIEW AVENUE | 11236 | 18 | 08 | 19 | 59 | 46 | 3331441 |
| 3083290225 | 25 |  | 5955 SHORE PARKWAY | 11236 | 18 | 08 | 19 | 59 | 46 | 3391490 |
| 3083290225 | 3 | M | 9910 SEAVIEW AVENUE | 11236 | 18 | 08 | 19 | 59 | 46 | 3331425 |
| 3083290225 | 4 | M | 1550 EAST 102ND STREET | 11236 | 18 | 08 | 19 | 59 | 46 | 3331420 |
| 3083290225 | 5 | M | 1540 EAST 102ND STREET | 11236 | 18 | 08 | 19 | 59 | 46 | 3331419 |
| 3083290225 | 6 | M | 2075 ROCKAWAY PARKWAY | 11236 | 18 | 08 | 19 | 59 | 46 | 3331424 |
| 3083290225 | 7 | M | 2065 ROCKAWAY PARKWAY | 11236 | 18 | 08 | 19 | 59 | 46 | 3331423 |
| 3083290225 | 8 | M | 1570 EAST 102ND STREET | 11236 | 18 | 08 | 19 | 59 | 46 | 3331428 |
