address,zipcode,development,managedBy,communityDistrict,block,lot,bin
2981 FREDERICK DOUGLASS BOULEVARD,10039,POLO GROUNDS TOWERS,POLO GROUNDS TOWERS,10,02106,0003,1084520
2981A FREDERICK DOUGLASS BOULEVARD,10039,POLO GROUNDS TOWERS,POLO GROUNDS TOWERS,10,02106,0003,1087107
2987 FREDERICK DOUGLASS BOULEVARD,10039,POLO GROUNDS TOWERS,POLO GROUNDS TOWERS,10,02106,0050,1082090
2989 FREDERICK DOUGLASS BOULEVARD,10039,POLO GROUNDS TOWERS,POLO GROUNDS TOWERS,10,02106,0003,1084521
2991 FREDERICK DOUGLASS BOULEVARD,10039,POLO GROUNDS TOWERS,POLO GROUNDS TOWERS,10,02106,0003,1084521
2993 FREDERICK DOUGLASS BOULEVARD,10039,POLO GROUNDS TOWERS,POLO GROUNDS TOWERS,10,02106,0003,1084521
2995 FREDERICK DOUGLASS BOULEVARD,10039,POLO GROUNDS TOWERS,POLO GROUNDS TOWERS,10,02106,0003,1084521
2997 FREDERICK DOUGLASS BOULEVARD,10039,POLO GROUNDS TOWERS,POLO GROUNDS TOWERS,10,02106,0003,1084521
2999GAR FREDERICK DOUGLASS BOULEVARD,10039,POLO GROUNDS TOWERS,POLO GROUNDS TOWERS,10,02106,0003,1087108
2999 FREDERICK DOUGLASS BOULEVARD,10039,POLO GROUNDS TOWERS,POLO GROUNDS TOWERS,10,02106,0003,1084521
3005 FREDERICK DOUGLASS BOULEVARD,10039,POLO GROUNDS TOWERS,POLO GROUNDS TOWERS,10,02106,0003,1088672
32 JACKSON STREET,10002,VLADECK II,VLADECK,3,00263,0001,1083397
35 JACKSON STREET,10002,VLADECK,VLADECK,3,00260,0075,1083395
40 JACKSON STREET,10002,VLADECK II,VLADECK,3,00263,0001,1083398
44 JACKSON STREET,10002,VLADECK II,VLADECK,3,00263,0001,1083398
45 JACKSON STREET,10002,VLADECK,VLADECK,3,00260,0075,1083395
55 JACKSON STREET,10002,VLADECK,VLADECK,3,00260,0075,1083392
61 JACKSON STREET,10002,VLADECK,VLADECK,3,00260,0075,1083392
65 JEFFERSON STREET,10002,LA GUARDIA,LA GUARDIA,3,00256,0001,1077516
55 LA SALLE STREET,10027,GRANT,GRANT,9,01980,0001,1084116
65 LA SALLE STREET,10027,GRANT,GRANT,9,01980,0001,1084119
75 LA SALLE STREET,10027,GRANT,GRANT,9,01980,0001,1084119
50 LENOX AVENUE,10026,KING TOWERS,KING TOWERS,10,01596,0001,1083312
70 LENOX AVENUE,10026,KING TOWERS,KING TOWERS,10,01596,0001,1083314
90 LENOX AVENUE,10026,KING TOWERS,KING TOWERS,10,01596,0001,1083313
450 LILLIAN WALD DRIVE,10009,WALD,WALD,3,00356,0001,1085575
2110 MADISON AVENUE,10037,LINCOLN,LINCOLN,11,01757,0001,1081115
2112 MADISON AVENUE,10037,LINCOLN,LINCOLN,11,01757,0001,1081115
2120 MADISON AVENUE,10037,LINCOLN,LINCOLN,11,01757,0001,1081116
2121 MADISON AVENUE,10037,LINCOLN,LINCOLN,11,01757,0020,1081123
2123 MADISON AVENUE,10037,LINCOLN,LINCOLN,11,01757,0020,1081123
2130 MADISON AVENUE,10037,LINCOLN,LINCOLN,11,01757,0001,1081114
2133 MADISON AVENUE,10037,LINCOLN,LINCOLN,11,01757,0020,1081122
2135 MADISON AVENUE,10037,LINCOLN,LINCOLN,11,01757,0020,1081122
2140 MADISON AVENUE,10037,LINCOLN,LINCOLN,11,01757,0001,1081113
2142 MADISON AVENUE,10037,LINCOLN,LINCOLN,11,01757,0001,1081112
2144 MADISON AVENUE,10037,LINCOLN,LINCOLN,11,01757,0001,1081112
2146 MADISON AVENUE,10037,LINCOLN,LINCOLN,11,01757,0001,1081112
2150 MADISON AVENUE,10037,LINCOLN,LINCOLN,11,01757,0001,1081112
2155 MADISON AVENUE,10037,LINCOLN,LINCOLN,11,01757,0020,1081121
10 PALADINO AVENUE,10035,WAGNER,WAGNER,11,01808,0001,1081296
20 PALADINO AVENUE,10035,WAGNER,WAGNER,11,01808,0001,1081295
30 PALADINO AVENUE,10035,WAGNER,WAGNER,11,01808,0001,1081294
40 PALADINO AVENUE,10035,WAGNER,WAGNER,11,01808,0001,1081293
50 PALADINO AVENUE,10035,WAGNER,WAGNER,11,01808,0001,1081290
60 PALADINO AVENUE,10035,WAGNER,WAGNER,11,01808,0001,1081289
70 PALADINO AVENUE,10035,WAGNER,WAGNER,11,01808,0001,1081288
80 PALADINO AVENUE,10035,WAGNER,WAGNER,11,01808,0001,1081284
90 PALADINO AVENUE,10035,WAGNER,WAGNER,11,01808,0001,1081285
1326 PARK AVENUE,10029,CARVER,CARVER,11,01605,0024,1079192
1330 PARK AVENUE,10029,CARVER,CARVER,11,01605,0024,1079192
1404 PARK AVENUE,10029,CARVER,CARVER,11,01610,0023,1078839
1405 PARK AVENUE,10029,CLINTON,CLINTON,11,01632,0001,1051954
1407 PARK AVENUE,10029,CLINTON,CLINTON,11,01632,0001,1051954
1410 PARK AVENUE,10029,CARVER,CARVER,11,01610,0023,1078839
1485 PARK AVENUE,10029,CLINTON,CLINTON,11,01636,0001,1078924
1487 PARK AVENUE,10029,CLINTON,CLINTON,11,01636,0001,1078924
1505 PARK AVENUE,10029,CLINTON,CLINTON,11,01637,0001,1078929
1507 PARK AVENUE,10029,CLINTON,CLINTON,11,01637,0001,1078929
1565 PARK AVENUE,10029,JOHNSON,JOHNSON,11,01640,0001,1079194
1581 PARK AVENUE,10029,JOHNSON,JOHNSON,11,01640,0001,1079196
1591 PARK AVENUE,10029,JOHNSON,JOHNSON,11,01640,0001,1079199
1611 PARK AVENUE,10029,JOHNSON,JOHNSON,11,01640,0001,1079198
1960 PARK AVENUE,10037,LINCOLN,LINCOLN,11,01757,0020,1081118
1980 PARK AVENUE,10037,LINCOLN,LINCOLN,11,01757,0020,1081119
77 STANTON STREET,10002,LOWER EAST SIDE I INFILL,GOMPERS,3,00416,0001,1077637
189 STANTON STREET,10002,STANTON STREET,KRAUS MANAGEMENT (PRIVATE-MR.1),3,00344,0010,1087345
401 WEST 16TH STREET,10011,FULTON,FULTON,4,00714,0031,1078408
413 WEST 16TH STREET,10011,FULTON,FULTON,4,00714,0031,1078408
400 WEST 19TH STREET,10011,FULTON,FULTON,4,00716,0017,1078444
401 WEST 19TH STREET,10011,FULTON,FULTON,4,00717,0019,1012576
412 WEST 19TH STREET,10011,FULTON,FULTON,4,00716,0017,1078444
419 WEST 19TH STREET,10011,FULTON,FULTON,4,00717,0019,1012576
420 WEST 19TH STREET,10011,FULTON,FULTON,4,00716,0017,1078445
422 WEST 19TH STREET,10011,FULTON,FULTON,4,00716,0017,1078445
426 WEST 27TH DRIVE,10001,ELLIOTT,CHELSEA,4,00724,0015,1012828
436 WEST 27TH DRIVE,10001,CHELSEA ADDITION,CHELSEA,4,00724,0010,1012827
450 WEST 27TH DRIVE,10001,ELLIOTT,CHELSEA,4,00724,0001,1083582
525 WEST 55TH STREET,10019,HARBORVIEW TERRACE,AMSTERDAM,4,01084,0009,1027061
530 WEST 55TH STREET,10019,HARBORVIEW TERRACE,AMSTERDAM,4,01083,0015,1027059
535 WEST 55TH STREET,10019,HARBORVIEW TERRACE,AMSTERDAM,4,01084,0009,1027061
520 WEST 56TH STREET,10019,HARBORVIEW TERRACE,AMSTERDAM,4,01084,0009,1027061
536 WEST 56TH STREET,10019,HARBORVIEW TERRACE,AMSTERDAM,4,01084,0009,1027061
247 WEST 61ST DRIVE,10023,AMSTERDAM,AMSTERDAM,7,01154,0101,1082585
250 WEST 61ST DRIVE,10023,AMSTERDAM,AMSTERDAM,7,01154,0101,1082584
205 WEST 61ST STREET,10023,AMSTERDAM,AMSTERDAM,7,01154,0101,1081771
249 WEST 61ST STREET,10023,AMSTERDAM,AMSTERDAM,7,01154,0101,1082584
152 WEST 84TH STREET,10024,154 WEST 84TH STREET,KRAUS MANAGEMENT (PRIVATE-M/B 1),7,01214,0055,1084672
154 WEST 84TH STREET,10024,154 WEST 84TH STREET,KRAUS MANAGEMENT (PRIVATE-M/B 1),7,01214,0055,1084672
156 WEST 84TH STREET,10024,154 WEST 84TH STREET,KRAUS MANAGEMENT (PRIVATE-M/B 1),7,01214,0055,1084672
47 WEST 89TH STREET,10024,WSUR(BROWNSTONES),DE HOSTOS APARTMENTS,7,01203,0013,1031552
49 WEST 89TH STREET,10024,WSUR(BROWNSTONES),DE HOSTOS APARTMENTS,7,01203,0013,1085068
51 WEST 89TH STREET,10024,WSUR(BROWNSTONES),DE HOSTOS APARTMENTS,7,01203,0013,1085069
70 WEST 91ST STREET,10024,WSUR(BROWNSTONES),DE HOSTOS APARTMENTS,7,01204,0056,1085075
102 WEST 91ST STREET,10024,THOMAS APARTMENTS,DE HOSTOS APARTMENTS,7,01221,0038,1077231
55 WEST 100TH STREET,10025,DOUGLASS I,DOUGLASS,7,01836,0001,1081297
241 WEST 101ST STREET,10025,REHAB PROGRAM(DOUGLASS REHABS),KRAUS MANAGEMENT(PRIVATE-,7,01873,0009,1056503
74 WEST 103RD STREET,10025,DOUGLASS I,DOUGLASS,7,01836,0001,1081302
76 WEST 103RD STREET,10025,DOUGLASS I,DOUGLASS,7,01836,0001,1081302
239 WEST 103RD STREET,10025,REHAB PROGRAM (DOUGLASS REHABS),KRAUS MANAGEMENT(PRIVATE-M/B1),7,01875,0009,1056561
241 WEST 103RD STREET,10025,REHAB PROGRAM (DOUGLASS REHABS),KRAUS MANAGEMENT(PRIVATE-M/B1),7,01875,0005,1079469
243 WEST 103RD STREET,10025,REHAB PROGRAM (DOUGLASS REHABS),KRAUS MANAGEMENT(PRIVATE-M/B1),7,01875,0005,1079470
245 WEST 103RD STREET,10025,REHAB PROGRAM (DOUGLASS REHABS),KRAUS MANAGEMENT(PRIVATE-M/B1),7,01875,0005,1079471
247 WEST 103RD STREET,10025,REHAB PROGRAM (DOUGLASS REHABS),KRAUS MANAGEMENT(PRIVATE-M/B1),7,01875,0005,1079472
249 WEST 103RD STREET,10025,REHAB PROGRAM (DOUGLASS REHABS),KRAUS MANAGEMENT(PRIVATE-M/B1),7,01875,0005,1079473
251 WEST 103RD STREET,10025,REHAB PROGRAM (DOUGLASS REHABS),KRAUS MANAGEMENT(PRIVATE-M/B1),7,01875,0005,1079474
60 WEST 104TH STREET,10025,DOUGLASS I,DOUGLASS,7,01836,0001,1083820
110 WEST 104TH STREET,10025,DOUGLASS I,DOUGLASS,7,01855,0001,1079388
120 WEST 104TH STREET,10025,DOUGLASS I,DOUGLASS,7,01855,0001,1079388
140 WEST 104TH STREET,10025,DOUGLASS II,DOUGLASS,7,01855,0001,1079419
244 WEST 104TH STREET,10025,REHAB PROGRAM (DOUGLASS REHABS),KRAUS MANAGEMENT(PRIVATE-M/B.1),7,01875,0057,1056577
1 WEST 112TH STREET,10026,KING TOWERS,KING TOWERS,10,01596,0001,1083309
21 WEST 112TH STREET,10026,KING TOWERS,KING TOWERS,10,01596,0001,1083310
41 WEST 112TH STREET,10026,KING TOWERS,KING TOWERS,10,01596,0001,1083311
71 WEST 112TH STREET,10026,KING TOWERS,KING TOWERS,10,01596,0001,1083312
261 WEST 113TH STREET,10026,KING TOWERS,KING TOWERS,10,01829,0111,1000000
261 WEST 113TH STREET,10026,RANDOLPH SOUTH,WAVECREST MANAGEMENT,10,01829,0111,
2 WEST 115TH STREET,10026,KING TOWERS,KING TOWERS,10,01596,0001,1083316
20 WEST 115TH STREET,10026,KING TOWERS,KING TOWERS,10,01596,0001,1083317
40 WEST 115TH STREET,10026,KING TOWERS,KING TOWERS,10,01596,0001,1083318
70 WEST 115TH STREET,10026,KING TOWERS,KING TOWERS,10,01596,0001,1083313
270 WEST 115TH STREET,10026,KING TOWERS,KING TOWERS,10,01830,0056,1000000
270 WEST 115TH STREET,10026,RANDOLPH NORTH,WAVECREST MANAGEMENT,10,01830,0056,1000000
214 WEST 114TH STREET,10026,RANDOLPH SOUTH,WAVECREST MANAGEMENT,10,01830,0019,1000000
234 WEST 114TH STREET,10026,RANDOLPH SOUTH,WAVECREST MANAGEMENT,10,01830,0019,1000000
430 WEST 125TH STREET,10027,GRANT,GRANT,9,01964,0001,1084094
510G AR WEST 125TH STREET,10027,GRANT,GRANT,9,01980,0001,1084120
27-10 8TH STREET,11102,ASTORIA,ASTORIA,1,00490,0101,4430777
28-02 8TH STREET,11102,ASTORIA,ASTORIA,1,00490,0101,4430778
41-10 12TH STREET,11101,QUEENSBRIDGE SOUTH,QUEENSBRIDGE SOUTH,1,00465,0001,4433418
41-11 12TH STREET,11101,QUEENSBRIDGE SOUTH,QUEENSBRIDGE SOUTH,1,00465,0001,4433419
41-12 12TH STREET,11101,QUEENSBRIDGE SOUTH,QUEENSBRIDGE SOUTH,1,00465,0001,4433420
41-13 12TH STREET,11101,QUEENSBRIDGE SOUTH,QUEENSBRIDGE SOUTH,1,00465,0001,4595556
41-14 12TH STREET,11101,QUEENSBRIDGE SOUTH,QUEENSBRIDGE SOUTH,1,00465,0001,4433422
41-15 12TH STREET,11101,QUEENSBRIDGE SOUTH,QUEENSBRIDGE SOUTH,1,00465,0001,4433421
41-16 12TH STREET,11101,QUEENSBRIDGE SOUTH,QUEENSBRIDGE SOUTH,1,00465,0001,4595557
125-01 22ND AVENUE,11356,REHAB PROGRAM(COLLEGE POINT),LATIMER GARDENS,7,04170,0001,4099269
12-15 36TH AVENUE,11106,RAVENSWOOD,RAVENSWOOD,1,00332,0002,4430687
14-01 36TH AVENUE,11106,RAVENSWOOD,RAVENSWOOD,1,00332,0002,4430696
22-01 36TH AVENUE,11106,RAVENSWOOD,RAVENSWOOD,1,00335,0002,4430706
23-03 36TH AVENUE,11106,RAVENSWOOD,RAVENSWOOD,1,00335,0002,4430716
10-20 41ST ROAD,11101,QUEENSBRIDGE SOUTH,NYC DEPT OF PARKS,1,00465,0001,
24-02 49TH AVENUE,11101,NON DEVELOPMENT FACILITY,RENTED PROPERTY,2,00071,7501,4000542
31-90 51ST STREET,11377,WOODSIDE,WOODSIDE,1,00738,0050,4430908
32-20 51ST STREET,11377,WOODSIDE,WOODSIDE,1,00736,0002,4430992
154-01 71ST AVENUE,11367,POMONOK,POMONOK,8,06792,0001,4451584
154-05 71ST AVENUE,11367,POMONOK,POMONOK,8,06792,0001,4451585
155-01 71ST AVENUE,11367,POMONOK,POMONOK,8,06792,0001,4451585
155-05 71ST AVENUE,11367,POMONOK,POMONOK,8,06792,0001,4451594
155-07 71ST AVENUE,11367,POMONOK,POMONOK,8,06792,0001,4451594
155-09 71ST AVENUE,11367,POMONOK,POMONOK,8,06792,0001,4451594
155-11 71ST AVENUE,11367,POMONOK,POMONOK,8,06792,0050,4451587
155-15 71ST AVENUE,11367,POMONOK,POMONOK,8,06792,0050,4451587
156-03 71ST AVENUE,11367,POMONOK,POMONOK,8,06792,0001,4451586
156-07 71ST AVENUE,11367,POMONOK,POMONOK,8,06792,0001,4451586
156-15 71ST AVENUE,11367,POMONOK,POMONOK,8,06792,0001,4451588
156-17 71ST AVENUE,11367,POMONOK,POMONOK,8,06792,0001,4451588
138-20 102ND AVENUE,11435,FHA REPOSSESSED HOUSES(GROUPX),BAISLEY PARK,12,10019,0011,4214395
219-30 102ND AVENUE,11429,FHA REPOSSESSED HOUSES(GROUPV),BAISLEY PARK,13,10772,0021,4230889
159-04 107TH AVENUE,11433,SOUTH JAMAICA I,SOUTH JAMAICA I,12,10125,0033,4440736
159-11 107TH AVENUE,11433,SOUTH JAMAICA II,SOUTH JAMAICA I,12,10127,0001,4451839
159-02 109TH AVENUE,11433,SOUTH JAMAICA II,SOUTH JAMAICA I,12,12148,0100,4435249
159-05 109TH AVENUE,11433,SOUTH JAMAICA II,SOUTH JAMAICA I,12,10148,0001,4457482
159-06 109TH AVENUE,11433,SOUTH JAMAICA II,SOUTH JAMAICA I,12,12148,0100,4435249
159-10 109TH AVENUE,11433,SOUTH JAMAICA II,SOUTH JAMAICA I,12,12148,0100,4435249
139-10 109TH ROAD,11435,FHA REPOSSESSED HOUSES(GROUP VIII),BAISLEY PARK,12,11925,0082,4257705
190-15 109TH ROAD,11412,FHA REPOSSESSED HOUSES(GROUP V),BAISLEY PARK,12,10923,0027,4233814
159-01 110TH AVENUE,11433,SOUTH JAMAICA II,SOUTH JAMAICA I,12,12148,0100,4435246
217-09 110TH AVENUE,11429,FHA REPOSSESSED HOUSES (GROUP X),BAISLEY PARK,13,11120,0001,4239649
205-20 112TH AVENUE,11412,FHA REPOSSESSED HOUSES(GROUP V),BAISLEY PARK,12,10981,0139,4235431
209-47 112TH AVENUE,11429,FHA REPOSSESSED HOUSES(GROUP III),BAISLEY PARK,13,11124,0053,4239793
215-32 112TH AVENUE,11429,FHA REPOSSESSED HOUSES(GROUP II),BAISLEY PARK,13,11141,0070,4240276
174-16 111TH AVENUE,11433,FHA REPOSSESSED HOUSES(GROUP X),BAISLEY PARK,12,10284,0018,4219320
190-18 119TH AVENUE,11412,FHA REPOSSESSED HOUSES(GROUP IV),BAISLEY PARK,12,12646,0009,4272514
218-34 119TH AVENUE,11411,FHA REPOSSESSED HOUSES(GROUP I),BAISLEY PARK,13,12778,0124,4275402
134-17 120TH AVENUE,11420,FHA REPOSSESSED HOUSES(GROUP V),BAISLEY PARK,10,11698,0035,4253141
191-18 120TH AVENUE,11412,FHA REPOSSESSED HOUSES(GROUP X),BAISLEY PARK,12,12670,0008,4273109
174-36 126TH AVENUE,11434,FHA REPOSSESSED HOUSES(GROUP V),BAISLEY PARK,12,12522,0108,4270211
109-33 130TH STREET,11420,FHA REPOSSESSED HOUSES (GROUP VIII),BAISLEY PARK,10,11610,0057,4249866
107-27 132ND STREET,11419,FHA REPOSSESSED HOUSES(GROUP IV),BAISLEY PARK,10,09612,0068,4206186
129-37 132ND STREET,11420,FHA REPOSSESSED HOUSES(GROUP VII),BAISLEY PARK,10,11771,0045,4255548
148-06 133RD AVENUE,11436,FHA REPOSSESSED HOUSES (GROUP III),BAISLEY PARK,12,12115,0033,4263065
117-22 133RD STREET,11420,FHA REPOSSESSED HOUSES(GROUP I),BAISLEY PARK,10,11696,0016,4253069
124-18 135TH PLACE,11420,FHA REPOSSESSED HOUSES(GROUP V),BAISLEY PARK,10,11759,0055,4255191
131-27 135TH PLACE,11420,FHA REPOSSESSED HOUSES(GROUP X),BAISLEY PARK,10,11781,0285,4255943
131-41 135TH PLACE,11420,FHA REPOSSESSED HOUSES(GROUP V),BAISLEY PARK,10,11781,0292,4255950
115-21 135TH STREET,11420,FHA REPOSSESSED HOUSES (GROUP III),BAISLEY PARK,10,11678,0060,4252578
114-42 139TH STREET,11436,FHA REPOSSESSED HOUSES(GROUP II),BAISLEY PARK,12,11968,0050,4259063
129-04 142ND STREET,11436,FHA REPOSSESSED HOUSES(GROUP II),BAISLEY PARK,12,12058,0205,4261836
129-04 142ND STREET,11436,FHA REPOSSESSED HOUSES(GROUP II),BAISLEY PARK,12,12058,0205,4261836
